N = 300
omega_r = 0.01
lambda = 0.0299991
0                   0
0.167224         1.05513e-05
0.334448           4.217e-05
0.501672         9.47498e-05
0.668896         0.000168115
0.83612         0.000262019
1.00334         0.000376148
1.17057         0.000510122
1.33779         0.000663492
1.50502         0.000835749
1.67224          0.00102632
1.83946          0.00123458
2.00669          0.00145983
2.17391          0.00170133
2.34114           0.0019583
2.50836          0.00222989
2.67559          0.00251522
2.84281          0.00281336
3.01003          0.00312336
3.17726          0.00344422
3.34448          0.00377491
3.51171          0.00411439
3.67893          0.00446159
3.84615          0.00481542
4.01338          0.00517479
4.1806          0.00553859
4.34783           0.0059057
4.51505          0.00627502
4.68227          0.00664544
4.8495          0.00701585
5.01672          0.00738518
5.18395          0.00775234
5.35117           0.0081163
5.51839            0.008476
5.68562          0.00883047
5.85284          0.00917871
6.02007          0.00951978
6.18729          0.00985279
6.35452           0.0101769
6.52174           0.0104912
6.68896           0.0107949
6.85619           0.0110874
7.02341           0.0113679
7.19064           0.0116357
7.35786           0.0118904
7.52508           0.0121313
7.69231           0.0123579
7.85953           0.0125698
8.02676           0.0127667
8.19398           0.0129481
8.3612           0.0131138
8.52843           0.0132636
8.69565           0.0133974
8.86288           0.0135149
9.0301           0.0136161
9.19732            0.013701
9.36455           0.0137696
9.53177            0.013822
9.699           0.0138582
9.86622           0.0138786
10.0334           0.0138833
10.2007           0.0138724
10.3679           0.0138464
10.5351           0.0138055
10.7023           0.0137501
10.8696           0.0136806
11.0368           0.0135974
11.204            0.013501
11.3712           0.0133917
11.5385           0.0132702
11.7057           0.0131369
11.8729           0.0129924
12.0401           0.0128372
12.2074           0.0126718
12.3746           0.0124969
12.5418           0.0123131
12.709           0.0121208
12.8763           0.0119207
13.0435           0.0117135
13.2107           0.0114996
13.3779           0.0112797
13.5452           0.0110543
13.7124           0.0108241
13.8796           0.0105897
14.0468           0.0103515
14.214           0.0101101
14.3813          0.00986612
14.5485          0.00962003
14.7157          0.00937236
14.8829           0.0091236
15.0502          0.00887424
15.2174          0.00862474
15.3846          0.00837554
15.5518          0.00812708
15.7191          0.00787975
15.8863          0.00763395
16.0535          0.00739005
16.2207          0.00714839
16.388          0.00690929
16.5552          0.00667307
16.7224             0.00644
16.8896          0.00621036
17.0569          0.00598439
17.2241           0.0057623
17.3913          0.00554431
17.5585           0.0053306
17.7258          0.00512133
17.893          0.00491666
18.0602          0.00471669
18.2274          0.00452156
18.3946          0.00433134
18.5619          0.00414612
18.7291          0.00396596
18.8963          0.00379091
19.0635          0.00362098
19.2308          0.00345621
19.398          0.00329659
19.5652          0.00314212
19.7324          0.00299278
19.8997          0.00284853
20.0669          0.00270933
20.2341          0.00257514
20.4013          0.00244589
20.5686          0.00232152
20.7358          0.00220195
20.903           0.0020871
21.0702          0.00197688
21.2375           0.0018712
21.4047          0.00176996
21.5719          0.00167305
21.7391          0.00158038
21.9064          0.00149183
22.0736          0.00140729
22.2408          0.00132664
22.408          0.00124978
22.5753          0.00117658
22.7425          0.00110693
22.9097           0.0010407
23.0769         0.000977791
23.2441          0.00091807
23.4114         0.000861427
23.5786         0.000807744
23.7458         0.000756906
23.913         0.000708802
24.0803         0.000663318
24.2475         0.000620347
24.4147          0.00057978
24.5819         0.000541512
24.7492          0.00050544
24.9164         0.000471464
25.0836         0.000439487
25.2508         0.000409413
25.4181          0.00038115
25.5853          0.00035461
25.7525         0.000329705
25.9197         0.000306351
26.087          0.00028447
26.2542         0.000263981
26.4214         0.000244812
26.5886         0.000226889
26.7559         0.000210145
26.9231         0.000194512
27.0903         0.000179927
27.2575         0.000166331
27.4247         0.000153664
27.592         0.000141872
27.7592         0.000130902
27.9264         0.000120704
28.0936          0.00011123
28.2609         0.000102436
28.4281          9.4277e-05
28.5953         8.67137e-05
28.7625         7.97071e-05
28.9298         7.32207e-05
29.097           6.722e-05
29.2642         6.16726e-05
29.4314         5.65477e-05
29.5987         5.18163e-05
29.7659         4.74512e-05
29.9331         4.34268e-05
30.1003          3.9719e-05
30.2676         3.63052e-05
30.4348         3.31643e-05
30.602         3.02764e-05
30.7692         2.76228e-05
30.9365         2.51862e-05
31.1037         2.29504e-05
31.2709         2.09001e-05
31.4381         1.90213e-05
31.6054         1.73008e-05
31.7726         1.57261e-05
31.9398          1.4286e-05
32.107         1.29699e-05
32.2742         1.17677e-05
32.4415         1.06705e-05
32.6087         9.66959e-06
32.7759         8.75724e-06
32.9431         7.92613e-06
33.1104         7.16951e-06
33.2776         6.48117e-06
33.4448         5.85534e-06
33.612         5.28672e-06
33.7793         4.77041e-06
33.9465         4.30192e-06
34.1137         3.87707e-06
34.2809         3.49206e-06
34.4482         3.14337e-06
34.6154         2.82779e-06
34.7826         2.54235e-06
34.9498         2.28434e-06
35.1171         2.05127e-06
35.2843         1.84087e-06
35.4515         1.65105e-06
35.6187         1.47991e-06
35.786         1.32571e-06
35.9532         1.18686e-06
36.1204         1.06191e-06
36.2876         9.49545e-07
36.4548         8.48559e-07
36.6221         7.57856e-07
36.7893         6.76441e-07
36.9565          6.0341e-07
37.1237         5.37941e-07
37.291         4.79286e-07
37.4582         4.26771e-07
37.6254         3.79782e-07
37.7926         3.37765e-07
37.9599         3.00215e-07
38.1271         2.66681e-07
38.2943          2.3675e-07
38.4615         2.10053e-07
38.6288         1.86254e-07
38.796         1.65053e-07
38.9632         1.46178e-07
39.1304         1.29383e-07
39.2977          1.1445e-07
39.4649         1.01179e-07
39.6321         8.93937e-08
39.7993         7.89336e-08
39.9666         6.96556e-08
40.1338         6.14311e-08
