         2     2.015      2.03     2.045      2.06     2.075      2.09     2.105      2.12     2.135      2.15     2.165      2.18     2.195      2.21     2.225      2.24     2.255      2.27     2.285       2.3     2.315      2.33     2.345      2.36     2.375      2.39
-1.74588  0.723133  0.911549  0.379001
-1.73433   0.75747  0.906145    0.4351
-1.72293  0.784184  0.900766  0.484293
-1.71084  0.817544  0.894871  0.543445
-1.69819  0.855845  0.888396  0.632088
-1.68527  0.889625  0.881559  0.736561
-1.67181  0.930834  0.874289  0.863737
-1.6573   0.97996  0.866076   0.99101
-1.6421   1.02536  0.856806   1.23192
-1.62651   1.09089  0.846325   1.99785
-1.60945   1.14857  0.834944    2.2309
-1.59286   1.19461  0.824196   2.15399
-1.5733   1.29848  0.807745   3.31463
-1.55338   1.37834  0.790905   4.19434
-1.53244    1.4747  0.771868   5.61155
-1.50857   1.57947  0.746689   7.41431
-1.48402   1.74098  0.714066   12.0696
-1.45741    1.8615  0.678426   16.1926
-1.42702     1.972  0.629797   21.7504
-1.39787   2.01806  0.582716   25.3313
-1.36857   1.99538  0.532797   28.5413
-1.34176   1.91501  0.485589   29.7117
-1.31094   1.78463  0.423643   30.2819
-1.28648   1.66142   0.38071    28.991
-1.26042   1.49259  0.332186   25.7929
-1.23942   1.38652  0.299401   23.1814
-1.22009   1.28281  0.273943   20.6636
-1.74553  0.725442  0.911307  0.383167
-1.73431  0.756334  0.906081  0.437554
-1.72282  0.782925  0.900658  0.485695
-1.71098  0.819369  0.894873  0.554849
-1.69837  0.851151  0.888485  0.632778
-1.68517  0.887302  0.881495  0.732949
-1.67138  0.935113  0.873866  0.854771
-1.65719  0.980725  0.865997  0.994244
-1.64232   1.01947  0.857059   1.19296
-1.62649   1.08188  0.847049   1.47695
-1.60947   1.14376  0.835361    1.8753
-1.59213   1.21609  0.823004   2.34441
-1.5734   1.28862  0.808328   3.06787
-1.55306   1.38889  0.790416   4.18025
-1.53162   1.47955  0.770212   5.81442
-1.50925   1.59001  0.746985   8.14549
-1.48343   1.78804  0.712064   14.9246
-1.45399   2.04211  0.658913    31.913
-1.42183   2.19946  0.595759   44.6888
-1.39081   2.22529  0.532202   55.1353
-1.35867   2.09383  0.457469    59.923
-1.32673   1.91754  0.372426   61.4536
-1.29994   1.67386  0.313443   52.9641
-1.27548   1.51945  0.264628   44.6668
-1.25377   1.38602  0.228231   36.5429
-1.23353   1.26012  0.198684   28.6417
-1.21609   1.19081  0.181945   25.2298
-1.74559  0.720377  0.911315  0.383405
-1.73447  0.754032  0.906207  0.433079
-1.72296   0.78518  0.900775  0.484377
-1.71093  0.819409  0.894807  0.559505
-1.69843  0.849462  0.888547  0.624716
-1.6853  0.888585  0.881669   0.72092
-1.67171  0.932045  0.874348  0.828677
-1.65717    0.9826  0.865832   1.02756
-1.64221   1.01963  0.857017   1.17407
-1.62652   1.09141  0.847032   1.47848
-1.60989   1.15803  0.835949   1.82031
-1.59225   1.23212  0.822997   2.34308
-1.57384   1.30686  0.809013    2.9776
-1.55395   1.40752  0.792142   4.10873
-1.53251   1.52421  0.771323   6.30411
-1.50823   1.71507  0.742065   11.6359
-1.48362   1.83819  0.712526   15.1733
-1.45431   2.13575  0.661126   36.4014
-1.42134   2.50208  0.575839   98.7149
-1.38615   2.63117  0.471382   147.371
-1.35222   2.38331  0.365283   146.383
-1.32172   2.13507  0.265542    127.59
-1.29805   1.89883  0.221432   99.4743
-1.27438   1.73937  0.177486   73.8361
-1.25407   1.60995  0.150396   58.7142
-1.23467   1.51821  0.131151   46.8584
-1.2164   1.44417  0.113425   36.7309
-1.74565  0.738036  0.911382  0.389563
-1.73451  0.768627  0.906199  0.439528
-1.72292  0.800145  0.900735  0.493055
-1.711  0.837037  0.894848  0.567807
-1.69843  0.876066  0.888544  0.643643
-1.68526  0.918816  0.881619  0.747767
-1.67156  0.960133  0.874128  0.869195
-1.65733   1.00725  0.865998   1.01829
-1.64232   1.05413  0.857097   1.21273
-1.62665   1.12232  0.847162   1.49455
-1.60986   1.17686  0.835956   1.79103
-1.59226   1.25174  0.823128   2.37956
-1.57365   1.34348  0.808594   3.15058
-1.55384    1.4454  0.791831   4.38954
-1.53212   1.56557  0.770245   6.93395
-1.50948   1.69255  0.746645   9.53642
-1.48269   2.03884  0.705594   29.8677
-1.45401   2.31499  0.655187    56.472
-1.4215   2.61787  0.578747     106.2
-1.38316   2.99378  0.430073   253.467
-1.34839    2.6908  0.286468   264.637
-1.32148   2.44304  0.218895    206.87
-1.2967   2.17922  0.168458    142.69
-1.27453   2.00916  0.133122   106.672
-1.25371   1.89881  0.114377    82.428
-1.23485   1.81839 0.0981495   69.4185
-1.21673    1.7075 0.0873824   56.0064
